"APPOINT_ID","RESERVATION_TYPE","RESERVATION_METHOD","LINE_ID","TIMEZONE_PATTERN_ID","TIMEZONE_ID","APPOINT_DATE","APPOINT_DAY","LINE_NAME","TIMEZONE_NAME","RESERVATION_FRAMES","AUTO_RESERVATION_SETTING","LINE_NUM","SPARE_LINE_NUM","START_TIME","END_TIME","START_NUMBER","LINE_APPOINT_TYPE","LINE_APPOINT_NO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DELETE_FG","DATA_VERSION"
"82","2",\N,"8","30","1","2018-10-09","2","①毎月15日以降／月～金土／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2018-09-30 16:20:05","CUSTUMER","2018-09-30 16:20:05","0","1"
"83","2",\N,"18","1","1","2018-10-22","1","プレミアムコース※月～金","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2018-10-03 16:01:41","B42400","2018-10-12 14:16:34","1","2"
"84","2",\N,"18","1","1","2018-10-22","1","プレミアムコース※月～金","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2018-10-03 16:01:41","B42400","2018-10-12 14:16:34","1","2"
"85","2",\N,"18","1","1","2018-12-26","3","プレミアムコース※月～金","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2018-10-10 16:42:49","B42400","2018-10-12 14:14:44","1","2"
"86","2",\N,"18","1","1","2018-12-26","3","プレミアムコース※月～金","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2018-10-10 16:42:49","B42400","2018-10-12 14:14:44","1","2"
"87","2",\N,"18","1","1","2018-10-23","2","プレミアムコース※月～金","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2018-10-12 11:50:59","CUSTUMER","2018-10-12 11:50:59","0","1"
"88","2",\N,"18","1","1","2018-10-23","2","プレミアムコース※月～金","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2018-10-12 11:50:59","CUSTUMER","2018-10-12 11:50:59","0","1"
"89","2",\N,"8","30","1","2018-12-26","3","①毎月15日以降／月～金土／1枠","帯1","0",\N,"1","0","0000","2300","1","9",\N,"B42400","2018-10-12 14:14:44","B42400","2018-10-12 14:14:44","0","1"
"90","2",\N,"8","30","1","2018-12-26","3","①毎月15日以降／月～金土／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","B42400","2018-10-12 14:14:44","B42400","2018-10-12 14:14:44","0","1"
"91","2",\N,"8","30","1","2018-10-22","1","①毎月15日以降／月～金土／1枠","帯1","0",\N,"1","0","0000","2300","1","9",\N,"B42400","2018-10-12 14:16:33","B42400","2018-10-12 14:16:33","0","1"
"92","2",\N,"8","30","1","2018-10-22","1","①毎月15日以降／月～金土／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","B42400","2018-10-12 14:16:34","B42400","2018-10-12 14:16:34","0","1"
"93","2",\N,"8","30","1","2018-10-27","6","①毎月15日以降／月～金土／1枠","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2018-10-16 18:58:53","CUSTUMER","2018-10-16 18:58:53","0","1"
"94","2",\N,"8","30","1","2018-10-27","6","①毎月15日以降／月～金土／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2018-10-16 18:58:53","CUSTUMER","2018-10-16 18:58:53","0","1"
"95","2",\N,"18","1","1","2018-10-25","4","プレミアムコース※月～金","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2018-10-17 19:50:33","B42400","2018-10-18 09:08:33","1","2"
"96","2",\N,"18","1","1","2018-10-25","4","プレミアムコース※月～金","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2018-10-17 19:50:33","B42400","2018-10-18 09:08:33","1","2"
"97","2",\N,"18","1","1","2018-10-29","1","プレミアムコース※月～金","帯1","0",\N,"1","0","0000","2300","1","9",\N,"B42400","2018-10-18 09:08:33","B42400","2018-10-18 09:08:33","0","1"
"98","2",\N,"18","1","1","2018-10-29","1","プレミアムコース※月～金","帯1","0",\N,"1","0","0000","2300","1","1","1","B42400","2018-10-18 09:08:33","B42400","2018-10-18 09:08:33","0","1"
"99","2",\N,"8","30","1","2018-10-27","6","①毎月15日以降／月～金土／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2018-10-20 09:35:10","CUSTUMER","2018-10-20 09:35:10","0","1"
"100","2",\N,"18","1","1","2018-10-30","2","毎月15日以降／プレミアムコース※月～金","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2018-10-23 11:59:55","B42400","2018-10-26 16:37:31","1","2"
"101","2",\N,"18","1","1","2018-10-30","2","毎月15日以降／プレミアムコース※月～金","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2018-10-23 11:59:55","B42400","2018-10-26 16:37:31","1","2"
"102","2",\N,"18","1","1","2018-10-31","3","毎月15日以降／プレミアムコース※月～金","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2018-10-24 13:34:33","CUSTUMER","2018-10-24 13:34:33","0","1"
"103","2",\N,"18","1","1","2018-10-31","3","毎月15日以降／プレミアムコース※月～金","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2018-10-24 13:34:34","CUSTUMER","2018-10-24 13:34:34","0","1"
"104","2",\N,"18","102","1","2018-11-12","1","毎月15日以降／プレミアムコース※月～金","帯1","0",\N,"1","0","0000","2300","1","9",\N,"B42400","2018-10-26 16:37:31","B42400","2018-10-26 16:37:31","0","1"
"105","2",\N,"18","102","1","2018-11-12","1","毎月15日以降／プレミアムコース※月～金","帯1","0",\N,"1","0","0000","2300","1","1","1","B42400","2018-10-26 16:37:31","B42400","2018-10-26 16:37:31","0","1"
"106","2",\N,"12","1","1","2018-11-12","1","肺がんドック／面談あり（平日／月／1枠）","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2018-11-05 11:47:52","CUSTUMER","2018-11-05 11:47:52","0","1"
"107","2",\N,"12","1","1","2018-11-12","1","肺がんドック／面談あり（平日／月／1枠）","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2018-11-05 11:47:52","CUSTUMER","2018-11-05 11:47:52","0","1"
"108","2",\N,"18","21","1","2018-11-22","4","毎月15日以降／プレミアムコース※月～金","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2018-11-11 16:30:17","CUSTUMER","2018-11-11 16:30:17","0","1"
"109","2",\N,"18","21","1","2018-11-22","4","毎月15日以降／プレミアムコース※月～金","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2018-11-11 16:30:17","CUSTUMER","2018-11-11 16:30:17","0","1"
"110","2",\N,"8","30","1","2018-12-22","6","月～金土／1枠","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2018-12-15 12:23:23","CUSTUMER","2018-12-15 12:23:23","0","1"
"111","2",\N,"8","30","1","2018-12-22","6","月～金土／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2018-12-15 12:23:23","CUSTUMER","2018-12-15 12:23:23","0","1"
"112","2",\N,"8","30","1","2019-01-16","3","月～金土／1枠","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2019-01-03 22:54:24","CUSTUMER","2019-01-03 22:54:24","0","1"
"113","2",\N,"8","30","1","2019-01-16","3","月～金土／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2019-01-03 22:54:24","CUSTUMER","2019-01-03 22:54:24","0","1"
"114","2",\N,"18","113","1","2019-01-23","3","毎月15日以降／プレミアムコース※月～金","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2019-01-15 14:25:02","CUSTUMER","2019-01-15 14:25:02","0","1"
"115","2",\N,"18","113","1","2019-01-23","3","毎月15日以降／プレミアムコース※月～金","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2019-01-15 14:25:02","CUSTUMER","2019-01-15 14:25:02","0","1"
